City,Country,Cloudiness,Dates,Max Temperature,Latitude,Longitude,Humidity,Wind Speed
Rikitea,PF,100,1603058953,74.86,-23.12,-134.97,80,17.58
Souillac,MU,20,1603059027,73.4,-20.52,57.52,73,10.29
Nuuk,GL,45,1603059028,44.6,64.18,-51.72,75,25.28
Longyearbyen,SJ,20,1603059029,26.6,78.22,15.64,73,9.17
Saldanha,ZA,100,1603059031,57.2,-33.01,17.94,76,4.7
Vila Franca do Campo,PT,20,1603059032,60.8,37.72,-25.43,59,10.29
Punta Arenas,CL,40,1603059033,44.6,-53.15,-70.92,56,25.28
Upernavik,GL,18,1603059034,30.16,72.79,-56.15,90,9.82
Lebu,CL,0,1603058918,54.36,-37.62,-73.65,66,5.53
Ushuaia,AR,75,1603059037,39.2,-54.8,-68.3,86,17.22
Barrow,US,75,1603059039,21.2,71.29,-156.79,85,12.75
Lüderitz,NA,0,1603059040,63.84,-26.65,15.16,53,19.19
Inírida,CO,82,1603059003,82.09,3.87,-67.92,73,1.3
Bosaso,SO,0,1603059043,81.16,11.28,49.18,41,3.91
Busselton,AU,0,1603059044,57.99,-33.65,115.33,61,9.06
Sørland,NO,19,1603059045,33.8,67.67,12.69,80,5.82
Cape Canaveral,US,1,1603059018,77.0,28.41,-80.6,83,12.75
Butaritari,KI,89,1603059048,82.18,3.07,172.79,72,18.01
Baykit,RU,100,1603059049,28.38,61.67,96.37,93,12.8
Talnakh,RU,90,1603059050,15.8,69.49,88.4,92,6.71
Guerrero Negro,MX,96,1603059051,82.08,27.98,-114.06,47,13.02
Bluff,NZ,100,1603059053,48.99,-46.6,168.33,95,4.0
Vega de Alatorre,MX,13,1603059054,81.28,20.03,-96.63,73,6.49
Cape Town,ZA,99,1603059058,60.01,-33.93,18.42,82,8.05
Port Alfred,ZA,61,1603059059,61.14,-33.59,26.89,82,6.11
Shimoda,JP,79,1603059060,55.0,34.67,138.95,75,12.19
Atuona,PF,4,1603059061,78.1,-9.8,-139.03,74,19.13
Buzdyak,RU,98,1603059065,49.44,54.58,54.55,66,14.83
Dingle,PH,100,1603059066,76.5,11.0,122.67,91,4.94
Alta Floresta,BR,93,1603059068,76.35,-9.88,-56.09,75,4.29
Abu Kamal,SY,0,1603059069,70.63,34.45,40.92,28,7.52
Albany,US,97,1603058788,61.0,42.6,-73.97,51,7.16
Dikson,RU,98,1603059072,28.31,73.51,80.55,92,30.04
Ankang,CN,100,1603059074,50.4,32.68,109.02,86,0.02
Salalah,OM,0,1603059075,75.2,17.02,54.09,38,4.7
Hualmay,PE,20,1603059076,65.01,-11.1,-77.61,73,9.55
Kimbe,PG,99,1603059077,77.27,-5.55,150.14,88,3.65
Kondoa,TZ,1,1603059079,63.0,-4.9,35.78,74,5.23
Puerto Ayora,EC,20,1603059080,78.8,-0.74,-90.35,65,19.46
Saint-Augustin,CA,0,1603059081,48.97,51.23,-58.65,65,5.39
Tasiilaq,GL,69,1603059083,33.8,65.61,-37.64,80,9.17
Alihe,CN,0,1603059085,29.75,50.57,123.72,93,1.86
Almenara,BR,95,1603059086,73.6,-16.18,-40.69,76,4.81
Yulara,AU,90,1603059087,66.2,-25.24,130.99,93,6.93
Kavaratti,IN,39,1603059089,80.64,10.57,72.64,81,11.86
Bahía Blanca,AR,75,1603059090,75.2,-38.72,-62.27,31,5.82
Bredasdorp,ZA,100,1603059092,57.2,-34.53,20.04,87,2.24
Copiapó,CL,0,1603059093,60.8,-27.37,-70.33,67,10.29
Gundorovskiy,RU,100,1603059095,61.11,46.78,41.9,81,3.74
Kamina,CD,85,1603059096,68.79,-8.74,24.99,71,3.02
Kysyl-Syr,RU,78,1603059097,8.62,63.9,122.76,94,2.89
Lewistown,US,1,1603059100,59.0,40.6,-77.57,41,4.7
Selenginsk,RU,80,1603059101,23.0,52.01,106.86,92,4.56
Sharjah city,AE,0,1603059102,78.8,25.36,55.4,21,4.7
Klaksvík,FO,100,1603059103,39.2,62.23,-6.59,93,5.82
Provideniya,RU,75,1603059105,35.6,64.38,-173.3,80,4.47
Kemijärvi,FI,100,1603059107,32.27,66.71,27.43,97,14.5
Arraial do Cabo,BR,20,1603059108,73.4,-22.97,-42.03,69,12.75
George Town,MY,20,1603059109,80.6,5.41,100.34,88,3.36
Ouallam,NE,45,1603059111,93.83,14.32,2.09,22,8.79
Maniitsoq,GL,83,1603059112,40.08,65.42,-52.9,88,14.56
East London,ZA,36,1603059113,63.19,-33.02,27.91,73,5.39
Vitry-le-François,FR,96,1603059114,48.2,48.73,4.58,93,3.36
Mar del Plata,AR,40,1603059116,69.8,-38.0,-57.56,83,5.82
Coyhaique,CL,90,1603059117,41.0,-45.58,-72.07,75,5.82
Labuhan,ID,75,1603059119,78.46,-6.88,112.21,82,7.61
Clyde River,CA,90,1603058935,30.2,70.47,-68.59,100,12.75
Tromsø,NO,20,1603058872,30.2,69.65,18.96,86,14.99
Vaini,TO,75,1603059123,71.6,-21.2,-175.2,83,11.41
Scarborough,GB,94,1603059031,48.0,54.28,-0.4,90,1.99
Weinsberg,DE,82,1603059125,43.0,49.15,9.29,95,2.15
Qaanaaq,GL,93,1603059127,31.6,77.48,-69.36,90,6.35
Kapaa,US,20,1603059128,86.0,22.08,-159.32,74,3.36
Daytona Beach,US,90,1603059096,75.0,29.21,-81.02,88,13.87
Guarapari,BR,90,1603058857,71.6,-20.67,-40.5,88,3.36
Kondinskoye,RU,100,1603059131,30.94,59.65,67.41,98,10.92
Mataura,NZ,100,1603058987,48.99,-46.19,168.86,95,4.0
Carnarvon,AU,90,1603059136,68.0,-24.87,113.63,88,10.29
Ilulissat,GL,100,1603059138,46.4,69.22,-51.1,52,11.41
Yellowknife,CA,90,1603059139,28.0,62.46,-114.35,86,6.93
Thompson,CA,75,1603059140,32.0,55.74,-97.86,92,8.05
Kamaishi,JP,85,1603059129,57.6,39.27,141.88,67,4.59
Pevek,RU,97,1603059142,24.82,69.7,170.31,94,16.82
Biak,ID,96,1603059144,76.23,-0.91,122.88,82,5.59
Saint-Philippe,RE,15,1603059145,69.8,-21.36,55.77,64,5.82
Saint Paul Harbor,US,75,1603059146,48.2,57.79,-152.41,61,9.17
Cumpas,MX,0,1603059147,92.98,29.98,-109.78,11,3.69
Pravia,ES,89,1603059149,61.0,43.49,-6.15,82,3.36
Novobiryusinskiy,RU,86,1603059150,30.43,56.96,97.71,93,8.99
Hobart,AU,75,1603058967,55.99,-42.88,147.33,57,5.82
Hermanus,ZA,100,1603059152,59.0,-34.42,19.23,86,7.54
Hithadhoo,MV,100,1603059153,83.28,-0.6,73.08,76,16.37
Gur'yevsk,RU,96,1603059155,30.94,54.28,85.93,95,11.43
Hong Kong,HK,17,1603058958,73.0,22.29,114.16,75,1.01
Dunedin,NZ,100,1603058983,55.0,-45.87,170.5,80,3.47
Necochea,AR,65,1603058933,61.0,-38.55,-58.74,71,4.0
Faanui,PF,54,1603059160,79.57,-16.48,-151.75,78,7.67
Tuktoyaktuk,CA,20,1603059161,15.8,69.45,-133.04,92,2.24
Broome,US,1,1603059162,54.0,42.25,-75.83,37,12.75
Noril'sk,RU,90,1603059163,15.8,69.35,88.2,92,6.71
Krasnosel'kup,RU,100,1603059164,16.02,65.7,82.47,96,14.36
San Patricio,US,40,1603059166,89.6,28.02,-97.52,52,20.8
Bergneustadt,DE,100,1603059167,46.0,51.03,7.65,86,3.62
Ulladulla,AU,75,1603059168,57.99,-35.35,150.47,82,6.93
Omutninsk,RU,100,1603059169,42.91,58.67,52.19,95,10.71
Calvinia,ZA,99,1603059170,59.31,-31.47,19.78,51,3.06
Panlaitan,PH,80,1603059173,82.09,12.12,119.85,78,4.63
Port Macquarie,AU,100,1603059037,66.0,-31.43,152.92,93,1.99
Ponta do Sol,PT,75,1603059175,73.4,32.67,-17.1,83,26.4
Port Lincoln,AU,22,1603059176,55.89,-34.73,135.87,70,8.32
Kruisfontein,ZA,19,1603059178,54.0,-34.0,24.73,89,1.01
Constitución,CL,0,1603059179,55.76,-35.33,-72.42,62,14.67
Hilo,US,90,1603059180,77.0,19.73,-155.09,83,5.82
Oktyabr'skiy,RU,93,1603059181,50.61,54.48,53.47,70,15.48
Pangnirtung,CA,100,1603059183,34.68,66.15,-65.71,84,14.56
Portland,US,75,1603058726,66.99,45.52,-122.68,68,10.29
Navrongo,GH,18,1603059185,83.23,10.9,-1.09,60,4.81
Santa Rosa,PH,20,1603059186,78.8,14.31,121.11,88,4.7
Port Hedland,AU,0,1603059187,69.8,-20.32,118.57,83,9.17
Jamestown,US,90,1603059189,52.0,42.1,-79.24,66,9.17
Bubaque,GW,0,1603059190,82.51,11.28,-15.83,86,10.74
Aklavik,CA,5,1603059191,17.6,68.22,-135.01,67,3.36
Paamiut,GL,40,1603059192,42.76,61.99,-49.67,81,38.41
Bethel,US,20,1603059194,57.2,41.37,-73.41,58,10.29
Iqaluit,CA,90,1603059195,32.0,63.75,-68.51,98,23.04
Leningradskiy,RU,0,1603059196,23.43,69.38,178.42,88,6.29
Severo-Kuril'sk,RU,10,1603059198,47.86,50.68,156.12,83,11.48
Cidreira,BR,52,1603059200,68.13,-30.18,-50.21,84,22.15
Manggar,ID,100,1603059201,80.22,-2.88,108.27,83,10.83
Mandalgovi,MN,79,1603059202,36.43,45.76,106.27,61,11.1
Tiksi,RU,99,1603059190,16.43,71.69,128.87,95,14.05
Xinqing,CN,35,1603059204,29.1,48.23,129.5,88,4.18
Saskylakh,RU,97,1603059128,19.69,71.92,114.08,97,6.58
General Roca,AR,3,1603059207,77.0,-39.03,-67.58,27,3.36
Province of Mantua,IT,0,1603059208,51.01,45.17,10.78,95,3.13
Khatanga,RU,33,1603059209,7.21,71.97,102.5,85,8.25
Nome,US,90,1603059211,39.2,64.5,-165.41,93,10.29
Sungai Penuh,ID,98,1603059212,65.53,-2.08,101.38,89,1.52
Hamilton,US,90,1603058957,60.01,39.18,-84.53,67,12.75
Safi,MA,100,1603059214,65.64,32.3,-9.24,74,6.04
Vila Velha,BR,90,1603059215,71.6,-20.33,-40.29,88,3.36
Ardea,IT,5,1603059217,57.0,41.61,12.51,87,3.36
Codrington,AU,39,1603059218,52.32,-38.27,141.97,88,5.79
Voskresenskoye,RU,87,1603059219,41.38,56.84,45.43,86,11.54
Berbera,SO,0,1603059220,84.74,10.44,45.01,57,10.92
Port Blair,IN,100,1603059222,80.29,11.67,92.75,83,14.99
Saint George,US,1,1603059134,87.8,37.1,-113.58,8,13.87
Kota Kinabalu,MY,20,1603058951,75.2,5.97,116.07,88,6.93
Bambous Virieux,MU,20,1603058986,73.4,-20.34,57.76,73,10.29
Cheney,US,90,1603059226,55.0,47.49,-117.58,100,3.36
Lompoc,US,1,1603059054,73.4,34.64,-120.46,72,17.22
Nishihara,JP,20,1603059229,77.0,26.18,127.76,94,5.82
Río Gallegos,AR,75,1603059230,53.6,-51.62,-69.22,23,23.04
Kashary,RU,100,1603059231,51.67,49.04,41.01,62,5.88
Kaitangata,NZ,99,1603059233,55.0,-46.28,169.85,80,3.69
Ola,RU,93,1603059234,34.41,59.58,151.28,89,10.78
Belmonte Mezzagno,IT,9,1603059236,63.0,38.05,13.39,85,3.47
Sesheke,ZM,0,1603059239,73.4,-17.48,24.3,20,4.7
Isiro,CD,100,1603059240,67.12,2.77,27.62,97,0.98
Srandakan,ID,98,1603059241,75.78,-7.94,110.25,89,5.88
Mayor Pablo Lagerenza,PY,45,1603059243,92.3,-19.93,-60.77,39,10.71
Boulsa,BF,52,1603059245,86.27,12.67,-0.58,40,5.19
Warrington,GB,40,1603059246,51.01,53.39,-2.58,87,5.82
Elverum,NO,11,1603059247,27.0,60.88,11.56,89,4.36
Brae,GB,100,1603059248,41.0,60.4,-1.35,93,9.17
Kenai,US,40,1603059249,37.0,60.55,-151.26,84,8.05
Port Hardy,CA,90,1603059251,50.0,50.7,-127.42,93,8.05
Imbituba,BR,75,1603059252,71.6,-28.24,-48.67,73,10.29
Mabaruma,GY,99,1603059253,79.14,8.2,-59.78,76,5.19
Yangi Marg`ilon,UZ,0,1603059254,51.8,40.43,71.72,57,9.17
Esperance,AU,93,1603059256,51.8,-33.87,121.9,100,10.29
Hongjiang,CN,92,1603059257,53.58,27.11,110.0,87,2.24
Porto-Novo,BJ,40,1603059177,80.6,6.5,2.6,88,9.17
Bairiki Village,KI,20,1603059259,84.2,1.33,172.98,70,10.29
Hofn,IS,91,1603059206,42.31,64.25,-15.21,86,25.84
Dubai,AE,0,1603059143,78.8,25.26,55.3,16,3.36
Khovd,MN,100,1603059263,38.28,48.01,91.64,63,7.54
Batemans Bay,AU,89,1603059253,57.0,-35.72,150.18,65,1.01
Westport,US,40,1603059257,60.8,41.14,-73.36,59,9.17
Port Augusta,AU,40,1603059268,53.01,-32.5,137.77,93,3.36
Nelson Bay,AU,75,1603059269,64.0,-32.72,152.15,93,10.29
Lawton,US,90,1603059270,55.4,34.61,-98.39,81,26.4
Moerai,PF,32,1603059271,75.7,-22.43,-151.33,78,13.53
Nova Odesa,UA,7,1603059274,49.64,47.31,31.79,66,6.82
Pisco,PE,90,1603059257,66.2,-13.7,-76.22,77,5.82
Koutiala,ML,47,1603059276,84.58,12.39,-5.46,44,5.84
Ostrovnoy,RU,69,1603059277,34.18,68.05,39.51,86,13.2
Panzhihua,CN,98,1603059279,63.1,26.59,101.71,80,2.71
Sola,VU,30,1603059280,79.54,-13.88,167.55,77,20.8
Chapais,CA,90,1603059281,46.4,49.78,-74.85,75,16.11
Puerto Rico,AR,9,1603059282,81.5,-26.8,-55.02,45,2.82
Sri Aman,MY,84,1603059283,71.6,1.24,111.46,100,3.36
Hīt,IQ,0,1603059285,70.61,33.64,42.83,31,5.46
Soria,ES,79,1603059286,44.01,41.67,-2.67,72,3.15
Yuryuzan',RU,100,1603059287,37.65,54.86,58.42,76,5.93
Noumea,NC,0,1603059204,77.0,-22.28,166.46,38,6.93
Caraúbas,BR,100,1603059289,78.93,-5.79,-37.56,71,12.39
Nanortalik,GL,96,1603059291,39.22,60.14,-45.24,94,9.84
Cairns,AU,7,1603059257,77.0,-16.92,145.77,73,9.17
Kawalu,ID,100,1603059294,72.77,-7.38,108.21,92,1.86
Tateyama,JP,75,1603059296,59.0,34.98,139.87,76,11.41
Chui,UY,0,1603059297,67.93,-33.7,-53.46,74,8.84
Quatre Cocos,MU,20,1603059298,73.4,-20.21,57.76,78,8.05
Port Elizabeth,ZA,75,1603059299,57.2,-33.92,25.57,87,1.12
Botwood,CA,42,1603059300,52.0,49.15,-55.35,71,2.73
Chokurdakh,RU,93,1603059302,19.15,70.63,147.92,98,6.26
Vanimo,PG,100,1603059303,80.31,-2.67,141.3,78,4.83
Miles City,US,90,1603059257,28.4,46.41,-105.84,74,4.7
Sechura,PE,9,1603059305,73.72,-5.56,-80.82,58,17.54
Yumen,CN,100,1603059307,42.49,40.28,97.2,49,15.64
Mahajanga,MG,20,1603059309,77.0,-15.72,46.32,83,4.7
Santa Elena,EC,90,1603059218,73.4,-2.23,-80.85,83,13.87
Norman Wells,CA,5,1603059313,19.4,65.28,-126.83,73,6.93
Egvekinot,RU,70,1603059314,26.42,66.32,-179.17,88,3.94
Kavieng,PG,67,1603059315,83.95,-2.57,150.8,72,9.26
Lázaro Cárdenas,MX,86,1603059317,84.18,17.96,-102.2,78,5.57
Saint-Joseph,RE,7,1603059318,69.8,-21.37,55.62,64,5.82
Ibotirama,BR,99,1603059319,85.44,-12.19,-43.22,42,7.9
Nikolskoye,RU,90,1603059320,37.4,59.7,30.79,86,4.47
Sambava,MG,7,1603059321,70.56,-14.27,50.17,82,10.29
Verkhnetulomskiy,RU,94,1603059323,23.0,68.61,31.8,100,2.24
Huarmey,PE,49,1603059324,66.76,-10.07,-78.15,71,10.13
Naze,JP,75,1603059325,75.2,28.37,129.48,88,21.92
Siuna,NI,100,1603059328,80.17,13.73,-84.78,92,2.33
Salé,MA,87,1603059254,64.0,34.04,-6.82,87,3.36
Senno,RU,100,1603059330,36.0,59.53,33.92,96,8.77
Ahipara,NZ,16,1603059191,64.67,-35.17,173.17,71,11.41
Akdepe,TM,0,1603059333,46.4,42.06,59.38,42,9.17
Tautira,PF,40,1603059334,84.2,-17.73,-149.15,70,18.34
Mercedes,AR,18,1603059335,87.01,-34.65,-59.43,28,5.01
Zliten,LY,23,1603059336,69.76,32.47,14.57,57,10.56
Cherskiy,RU,91,1603059337,21.11,68.75,161.3,92,6.96
Guanare,VE,100,1603059341,79.21,9.04,-69.74,87,0.96
Abu Samrah,SY,61,1603059342,63.1,35.3,37.18,53,5.19
Aipe,CO,78,1603059344,93.88,3.22,-75.24,33,11.1
Nichinan,JP,75,1603059346,59.0,31.6,131.37,87,6.93
Laguna,US,1,1603059347,91.99,38.42,-121.42,17,4.7
Berlevåg,NO,40,1603059349,26.6,70.86,29.09,92,9.17
Najrān,SA,0,1603059207,66.2,17.49,44.13,25,2.98
Shache,CN,0,1603059352,44.51,38.42,77.24,53,4.79
Alibag,IN,40,1603059353,82.4,18.64,72.88,83,3.06
New Norfolk,AU,79,1603059355,55.99,-42.78,147.06,72,1.99
Awjilah,LY,73,1603059356,77.09,29.11,21.29,28,9.48
South River,US,87,1603059357,61.0,40.45,-74.39,69,8.99
Udimskiy,RU,100,1603059359,34.97,61.14,45.91,98,5.39
Nur-Sultan,KZ,2,1603059360,24.8,51.18,71.45,85,4.47
Kirakira,SB,97,1603059361,83.68,-10.45,161.92,74,7.45
Freeport,US,75,1603059223,60.8,40.66,-73.58,62,10.29
Goderich,CA,100,1603059363,53.01,43.75,-81.72,91,5.01
Castro,BR,87,1603059171,61.45,-24.79,-50.01,90,7.67
Lac-Mégantic,CA,20,1603059366,55.4,45.58,-70.88,32,10.29
Ulaangom,MN,56,1603059367,33.46,49.98,92.07,88,2.51
Remontnoye,RU,95,1603059368,57.2,46.56,43.65,67,8.95
Zaraysk,RU,100,1603059369,36.0,54.77,38.88,73,3.0
Rawson,AR,35,1603059371,70.14,-43.3,-65.1,22,27.29
Erenhot,CN,0,1603059372,42.75,43.65,111.98,54,12.95
Caravelas,BR,66,1603059373,72.88,-17.71,-39.25,81,8.55
Pontianak,ID,91,1603059217,75.67,-0.03,109.33,93,3.2
Atlantis,ZA,100,1603059376,59.0,-33.57,18.48,87,5.21
Avarua,CK,88,1603059377,78.8,-21.21,-159.78,74,9.17
Gobabis,NA,0,1603059378,72.54,-22.45,18.97,19,12.06
Grindavik,IS,20,1603059379,41.0,63.84,-22.43,86,19.46
Voh,NC,0,1603059381,76.41,-20.97,164.7,58,4.68
Camacha,PT,40,1603059382,71.6,33.08,-16.33,88,21.92
Husavik,IS,90,1603059383,41.0,66.04,-17.34,75,14.99
Basoko,CD,94,1603059384,72.41,1.24,23.62,91,0.6
Coxim,BR,99,1603059385,86.16,-18.51,-54.76,49,8.68
Sur,OM,15,1603059387,82.31,22.57,59.53,43,16.17
Longyan,CN,22,1603059388,60.66,25.11,117.02,87,3.6
Lavrentiya,RU,32,1603059203,36.3,65.58,-171.0,86,4.07
Arrondissement de Reims,FR,78,1603059390,48.2,49.17,4.08,93,1.12
Epe,NG,7,1603059392,76.96,6.58,3.98,91,3.47
Novouzensk,RU,88,1603059393,59.65,50.46,48.14,75,10.51
Riviere-au-Renard,CA,75,1603059394,44.6,49.0,-64.4,75,5.82
Pozo Colorado,PY,21,1603059395,82.67,-23.49,-58.8,60,5.68
