City,Country,Cloudiness,Dates,Max Temperature,Latitude,Longitude,Humidity,Wind Speed
Tonj,SS,98,1603059398,71.04,7.27,28.68,93,2.64
Ribeira Grande,PT,57,1603059399,63.91,38.52,-28.7,75,21.41
Omboué,GA,95,1603059400,76.89,-1.57,9.26,89,8.34
Hambantota,LK,92,1603059401,77.0,6.12,81.12,94,4.7
Airai,TL,43,1603059403,62.33,-8.93,125.41,61,2.3
College,US,90,1603059231,19.99,64.86,-147.8,62,4.7
Serik,TR,40,1603059405,71.6,36.92,31.1,83,6.93
Jenbach,AT,75,1603059406,43.0,47.4,11.74,87,1.12
Ejura,GH,86,1603059369,73.9,7.39,-1.36,95,3.53
Gemeente Hoogeveen,NL,92,1603059409,46.99,52.68,6.58,95,1.99
Tobermory,CA,100,1603059410,39.99,45.25,-81.67,91,1.99
Tura,IN,0,1603059411,72.34,25.52,90.22,91,1.79
Neiafu,TO,40,1603059412,77.0,-18.65,-173.98,73,4.7
Mahébourg,MU,20,1603059413,73.4,-20.41,57.7,78,8.05
Lumeje,AO,0,1603059415,72.34,-11.55,20.78,51,2.98
Lira,UG,100,1603059416,64.89,2.23,32.91,93,2.13
Virginia Beach,US,38,1603059394,68.0,36.85,-75.98,79,8.97
Fortuna,US,20,1603059418,68.0,40.6,-124.16,63,14.99
Petropavlovsk-Kamchatskiy,RU,75,1603059420,42.8,53.05,158.65,100,4.47
Yarensk,RU,100,1603059421,32.31,62.17,49.09,98,8.16
Bilibino,RU,90,1603059422,16.3,68.05,166.44,94,2.19
Srednekolymsk,RU,82,1603059423,22.98,67.45,153.68,98,2.37
Itupiranga,BR,20,1603059424,87.8,-5.13,-49.33,58,3.36
Skjervøy,NO,3,1603059426,38.91,70.03,20.97,73,6.22
Assiut,EG,0,1603059427,73.4,27.18,31.18,56,2.75
Kukushtan,RU,75,1603059429,41.0,57.65,56.5,86,15.66
Meulaboh,ID,100,1603059432,76.01,4.14,96.13,83,4.23
San Quintín,MX,89,1603059433,80.65,30.48,-115.95,44,19.26
Upata,VE,60,1603059434,91.0,8.01,-62.4,58,1.63
Saint-Pierre,RE,0,1603059435,69.8,-21.34,55.48,64,5.82
Calama,CL,0,1603059248,77.0,-22.47,-68.93,6,23.04
Stokmarknes,NO,17,1603059438,36.0,68.56,14.91,71,7.0
Carroll,US,100,1603059439,60.01,39.55,-77.02,67,4.14
Buchanan,LR,75,1603059440,77.0,5.88,-10.05,94,7.07
San Angelo,US,1,1603059370,91.99,31.46,-100.44,27,3.36
Fairbanks,US,90,1603059443,19.99,64.84,-147.72,62,4.7
Kota Tinggi,MY,20,1603059444,78.8,1.74,103.9,94,2.24
Moose Factory,CA,90,1603059243,35.6,51.26,-80.61,93,8.05
Mazamet,FR,2,1603059446,51.01,43.49,2.37,93,4.7
Teahupoo,PF,40,1603059448,84.2,-17.83,-149.27,70,18.34
Petoa,HN,40,1603059449,87.8,15.27,-88.28,70,12.75
Manoel Urbano,BR,87,1603059450,78.48,-8.84,-69.26,73,3.87
Kumul,CN,47,1603059196,42.19,42.8,93.45,56,1.14
Port-Gentil,GA,90,1603059452,78.8,-0.72,8.78,88,9.17
Beyla,GN,97,1603059454,69.8,8.68,-8.63,93,2.39
Ganzhou,CN,100,1603059455,58.42,28.82,115.43,83,3.51
Pineville,US,20,1603059308,82.99,31.32,-92.43,58,12.75
Naryan-Mar,RU,18,1603059459,28.35,67.67,53.09,96,2.06
Porto Seguro,BR,75,1603059460,73.4,-16.45,-39.06,83,6.93
Nouadhibou,MR,28,1603059461,82.4,20.93,-17.03,45,12.75
Puerto Escondido,MX,40,1603059463,87.8,15.85,-97.07,62,8.05
Sumbe,AO,100,1603059208,75.76,-11.21,13.84,84,6.4
Chimoré,BO,59,1603059466,89.87,-16.98,-65.13,38,2.24
Tindwāri,IN,23,1603059467,79.57,25.62,80.53,50,3.18
Soe,ID,0,1603059468,68.83,-9.86,124.28,72,2.44
Rehoboth,NA,37,1603059469,71.2,-23.32,17.08,21,9.69
Santa Maria,BR,0,1603059471,72.79,-29.68,-53.81,62,5.55
Negombo,LK,40,1603059472,78.8,7.21,79.84,94,2.24
Chihuahua,MX,5,1603059294,87.8,28.5,-106.0,16,5.82
Terme,TR,75,1603059474,64.4,41.21,36.97,88,1.12
Lismore,AU,40,1603059249,68.0,-28.81,153.28,77,8.05
Jutaí,BR,20,1603059477,83.84,-5.18,-68.9,65,2.39
Whitehorse,CA,75,1603059478,26.6,60.72,-135.05,53,11.41
Saryozek,KZ,0,1603059479,40.82,44.36,77.98,66,1.23
Acobamba,PE,90,1603059480,56.19,-11.35,-75.66,65,5.91
Rey Bouba,CM,0,1603059482,77.32,8.67,14.18,64,1.99
Visakhapatnam,IN,75,1603059483,80.6,17.69,83.21,94,2.24
Viedma,AR,0,1603059484,73.99,-40.81,-63.0,21,5.79
Port Moresby,PG,75,1603059485,78.8,-9.44,147.18,94,3.36
Bhaderwah,IN,0,1603059487,52.93,32.98,75.72,39,2.57
Anapskaya,RU,20,1603059488,62.6,44.89,37.38,88,6.71
Mollendo,PE,91,1603059489,62.71,-17.02,-72.01,75,4.23
Zhezkazgan,KZ,0,1603059490,43.12,47.8,67.71,57,8.61
Iquique,CL,40,1603059491,66.2,-20.22,-70.14,59,10.29
Puerto Nariño,CO,75,1603059493,82.4,-3.77,-70.38,83,4.7
Macapá,BR,90,1603059242,87.8,0.04,-51.07,70,13.87
Kiruna,SE,70,1603059495,26.6,67.86,20.23,86,17.22
Poum,NC,0,1603059496,74.07,-20.23,164.02,72,16.75
Vardø,NO,75,1603059238,30.2,70.37,31.11,86,13.87
Comodoro Rivadavia,AR,40,1603059234,64.4,-45.87,-67.5,20,36.91
Invermere,CA,98,1603059305,40.73,50.52,-116.04,64,1.61
Kresttsy,RU,100,1603059501,39.13,58.25,32.52,84,11.18
Shirokiy,RU,96,1603059502,30.76,49.76,129.52,89,5.26
Río Tercero,AR,0,1603059503,95.0,-32.17,-64.11,27,1.99
Linköping,SE,5,1603059270,39.2,58.41,15.62,51,11.41
Parlākimidi,IN,73,1603059507,76.77,18.77,84.08,83,3.87
Alekseyevka,RU,0,1603059508,43.77,50.63,38.69,73,5.64
Sitka,US,75,1603059510,44.6,57.05,-135.33,65,4.7
Nantucket,US,20,1603059511,54.0,41.28,-70.1,71,5.82
Chengde,CN,0,1603059512,43.41,40.97,117.94,59,2.51
Port Said,EG,20,1603059514,77.0,31.26,32.28,78,6.93
La Sarre,CA,100,1603059506,38.34,48.8,-79.2,97,7.25
Yerbogachën,RU,100,1603059237,36.82,61.28,108.01,96,6.64
São Filipe,CV,42,1603059518,80.6,14.9,-24.5,80,8.5
Kabalo,CD,12,1603059366,71.33,-6.05,26.92,84,4.14
Port-Cartier,CA,75,1603059522,41.0,50.03,-66.87,93,5.82
Ürümqi,CN,34,1603059523,51.8,43.8,87.6,32,11.18
Gus-Zheleznyy,RU,90,1603059525,38.95,55.06,41.17,75,13.11
Tezu,IN,0,1603059526,72.84,27.92,96.17,67,3.47
Tanout,NE,0,1603059528,88.65,14.97,8.89,12,7.4
Ishinomaki,JP,75,1603059256,50.0,38.42,141.3,81,2.24
Kutum,SD,0,1603059530,76.5,14.2,24.67,18,7.85
Piaçabuçu,BR,82,1603059531,75.02,-10.41,-36.43,77,8.57
Harper,LR,100,1603059533,77.22,4.38,-7.72,90,6.67
Malbork,PL,54,1603059534,39.0,54.04,19.03,100,8.95
Tsumeb,NA,0,1603059535,74.32,-19.23,17.72,17,10.04
Umluj,SA,0,1603059430,84.54,25.02,37.27,43,5.95
Nyandoma,RU,95,1603059537,28.26,61.67,40.2,99,0.27
St. George's,GD,20,1603059539,86.0,12.06,-61.75,79,9.17
Spirit River,CA,40,1603059540,23.0,55.78,-118.84,62,2.24
Boueni,YT,0,1603059541,77.0,-12.9,45.08,78,5.82
Puerto Baquerizo Moreno,EC,90,1603059254,69.8,-0.9,-89.6,100,14.99
Vostok,RU,0,1603059545,24.49,46.49,135.88,91,4.09
Bom Jesus da Lapa,BR,98,1603059426,81.09,-13.26,-43.42,55,10.49
Tortolì,IT,40,1603059547,59.0,39.93,9.66,87,8.05
Massakory,TD,2,1603059548,88.3,13.0,15.73,15,6.89
La Ronge,CA,90,1603059549,28.4,55.1,-105.28,68,10.29
Pochutla,MX,20,1603059551,89.6,15.74,-96.47,59,9.17
Geraldton,AU,90,1603059552,60.8,-28.77,114.6,93,5.82
Morondava,MG,19,1603059553,73.85,-20.28,44.28,90,4.41
Namatanai,PG,0,1603059554,83.66,-3.67,152.43,65,4.56
Kloulklubed,PW,90,1603059556,82.4,7.04,134.26,83,8.05
Wanaka,NZ,94,1603059557,52.38,-44.7,169.15,73,1.21
Bezdan,RS,0,1603059558,42.8,45.85,18.93,93,2.24
Kanigoro,ID,98,1603059559,74.68,-8.13,112.22,89,5.41
Lasem,ID,69,1603059560,77.99,-6.69,111.45,79,6.11
Powell River,CA,90,1603059304,51.8,49.85,-124.54,87,5.82
Tibati,CM,35,1603059563,67.08,6.47,12.63,87,3.2
Rongcheng,CN,100,1603059564,57.85,30.63,117.85,76,2.93
Agadez,NE,0,1603059565,84.4,19.75,10.25,14,7.49
Andenes,NO,20,1603059567,37.4,69.31,16.12,64,14.99
Mehamn,NO,40,1603059568,26.6,71.04,27.85,92,9.17
Winton,US,1,1603059569,95.0,37.39,-120.61,17,6.49
Bengkulu,ID,100,1603059570,74.89,-3.8,102.27,92,4.97
Miguel Hidalgo,MX,40,1603059571,77.0,19.42,-99.2,31,6.93
Shingū,JP,100,1603059574,60.76,33.73,135.98,71,5.12
Todos Santos,MX,0,1603059575,84.99,23.45,-110.22,78,5.01
Lata,PT,74,1603059576,63.0,40.16,-8.33,83,5.68
Lerwick,GB,100,1603059491,41.0,60.15,-1.15,93,9.17
Esim,GH,58,1603059301,77.67,4.87,-2.24,88,7.49
Bose,IT,1,1603059581,52.0,45.46,8.01,90,3.38
Riacho de Santana,BR,37,1603059582,78.93,-13.61,-42.94,56,6.53
Bilma,NE,0,1603059583,82.62,18.69,12.92,15,5.77
Walvis Bay,NA,0,1603059585,59.0,-22.96,14.51,82,10.29
Merrill,US,75,1603059587,39.2,45.18,-89.68,44,5.82
Chumikan,RU,70,1603059588,26.04,54.72,135.31,86,18.97
Lagunas,PE,54,1603059590,90.66,-5.23,-75.68,49,2.28
Staryy Nadym,RU,40,1603059591,23.47,65.61,72.68,97,11.41
Puri,IN,40,1603059592,77.0,19.8,85.85,100,2.24
Buluang,PH,100,1603059593,77.09,13.31,123.34,90,3.06
Buala,SB,39,1603059594,84.38,-8.14,159.59,71,5.39
Olafsvik,IS,53,1603059596,43.5,64.89,-23.71,79,29.04
Dakar,SN,0,1603059300,84.2,14.69,-17.44,89,2.24
Lampazos de Naranjo,MX,0,1603059599,93.94,27.02,-100.52,30,9.1
Ngunguru,NZ,3,1603059601,70.0,-35.62,174.5,66,8.01
Tres Arroyos,AR,74,1603059602,64.44,-38.37,-60.28,83,8.57
Mwinilunga,ZM,0,1603059603,67.62,-11.74,24.43,44,3.4
Ubari,LY,92,1603059604,78.3,26.59,12.78,28,19.04
Valdivia,CL,33,1603059605,53.19,-39.81,-73.25,70,6.69
Narsaq,GL,90,1603059607,35.6,60.92,-46.05,80,4.7
Ekhabi,RU,75,1603059609,33.03,53.51,142.97,91,16.51
Samarai,PG,55,1603059610,80.22,-10.62,150.67,86,7.2
Cairo,EG,0,1603059374,73.4,30.06,31.25,83,12.75
Bemidji,US,90,1603059606,30.99,47.47,-94.88,63,9.17
Rio Grande,BR,0,1603059504,70.0,-32.03,-52.1,86,4.0
Merauke,ID,99,1603059615,80.29,-8.47,140.33,77,10.33
Leshukonskoye,RU,100,1603059617,30.81,64.9,45.76,97,8.5
Aksu,CN,0,1603059618,47.23,41.12,80.26,50,1.52
Bagan,RU,29,1603059619,30.65,54.1,77.66,94,7.52
Finschhafen,PG,80,1603059620,82.99,-6.6,147.87,68,4.97
Mayo,US,1,1603059623,62.6,38.89,-76.51,67,6.69
Peniche,PT,100,1603059624,60.01,39.36,-9.38,77,9.35
Flinders,AU,65,1603059625,63.0,-34.58,150.86,73,4.0
Kanniyākumāri,IN,100,1603059628,78.82,8.08,77.57,82,14.36
Ballina,AU,75,1603059629,68.0,-28.87,153.57,88,4.7
Linhares,BR,100,1603059630,69.66,-19.39,-40.07,79,4.65
Tual,ID,60,1603059631,80.55,-5.67,132.75,81,13.44
Trairi,BR,85,1603059632,79.34,-3.28,-39.27,75,10.49
Atambua,ID,10,1603059634,74.97,-9.11,124.89,74,2.04
Fort-Shevchenko,KZ,0,1603059635,61.05,44.51,50.26,36,15.99
Coquimbo,CL,0,1603059636,59.0,-29.95,-71.34,77,9.17
New Smyrna Beach,US,90,1603059384,75.99,29.03,-80.93,88,13.87
Karratha,AU,1,1603059640,62.26,-20.74,116.85,91,10.13
Kirpilskaya,RU,99,1603059641,66.0,45.38,39.69,82,4.47
Zanjān,IR,0,1603059642,53.71,36.67,48.48,36,5.44
Nador,MA,38,1603059582,66.2,35.17,-2.93,77,2.24
Kahului,US,40,1603059645,89.6,20.89,-156.47,46,6.93
Fort Nelson,CA,5,1603059646,28.4,58.81,-122.7,50,3.36
Poplar Bluff,US,90,1603059488,61.0,36.76,-90.39,77,8.05
Touros,BR,20,1603059648,78.8,-5.2,-35.46,78,10.29
Böhl-Iggelheim,DE,91,1603059650,50.0,49.38,8.3,85,3.67
Inta,RU,80,1603059651,25.23,66.03,60.17,96,4.45
Adrar,MR,1,1603059652,88.2,20.5,-10.07,20,9.75
Baturaja,ID,88,1603059427,73.67,-4.13,104.17,94,1.92
Lorengau,PG,90,1603059655,84.24,-2.02,147.27,73,7.78
Aparecida do Taboado,BR,94,1603059657,87.48,-20.09,-51.09,35,7.49
Muros,ES,99,1603059658,55.99,42.78,-9.06,87,7.9
Lashio,MM,100,1603059661,64.45,22.93,97.75,98,1.57
Oriximiná,BR,97,1603059662,86.7,-1.77,-55.87,48,1.16
Erzin,TR,21,1603059663,75.0,36.96,36.2,81,2.1
Lagoa,PT,66,1603059664,62.98,39.05,-27.98,75,20.69
Takoradze,GH,33,1603059666,77.54,4.88,-1.76,89,7.83
Lake Havasu City,US,1,1603059453,100.0,34.48,-114.32,6,6.93
Lebedinyy,RU,0,1603059668,6.93,58.52,125.52,91,9.82
Tahoua,NE,0,1603059670,89.6,14.89,5.27,43,5.95
Chalmette,US,40,1603059830,81.0,29.94,-89.96,69,14.99
Simbahan,PH,99,1603059831,82.38,6.3,120.58,78,14.94
Tessalit,ML,0,1603059832,84.54,20.2,1.01,15,10.63
Plettenberg Bay,ZA,53,1603059833,57.61,-34.05,23.37,81,2.77
Dindori,IN,0,1603059835,69.62,22.95,81.08,79,3.76
Flin Flon,CA,90,1603059836,30.2,54.77,-101.86,80,11.41
Caloundra,AU,41,1603059837,73.99,-26.8,153.13,60,4.0
Buritis,BR,71,1603059838,80.31,-15.62,-46.42,57,1.36
São Raimundo Nonato,BR,56,1603059841,85.06,-9.02,-42.7,30,3.91
Luanda,AO,40,1603059843,77.0,-8.84,13.23,83,8.05
Makakilo City,US,40,1603059844,84.2,21.35,-158.09,70,10.29
Quelimane,MZ,0,1603059846,71.6,-17.88,36.89,88,4.7
Benguela,AO,55,1603059847,75.51,-12.58,13.41,76,3.91
Ugoofaaru,MV,68,1603059848,82.27,5.67,73.0,77,13.56
Bonthe,SL,100,1603059851,78.53,7.53,-12.51,88,5.79
Cabo San Lucas,MX,40,1603059689,88.0,22.89,-109.91,74,6.93
La Santisima Trinidad,BO,73,1603059853,93.2,-14.83,-64.9,49,4.7
Sabang,ID,99,1603059854,82.96,5.89,95.32,72,13.67
Greenwood,US,1,1603059855,68.0,34.17,-82.12,59,3.8
Rathkeale,IE,75,1603059857,55.4,52.52,-8.94,87,12.75
Linkou,CN,7,1603059859,32.72,45.3,130.28,90,5.37
Chipata,ZM,0,1603059860,69.48,-13.63,32.65,33,3.85
Isla Pucú,PY,39,1603059861,91.4,-25.3,-56.9,41,11.41
Cehegín,ES,3,1603059863,61.0,38.09,-1.8,74,1.01
Carutapera,BR,100,1603059864,79.0,-1.2,-46.02,78,6.73
Province of Palermo,IT,23,1603059679,63.0,37.82,13.58,80,1.01
Jefferson City,US,90,1603059765,46.0,38.58,-92.17,75,9.17
Spornoye,RU,75,1603059868,41.0,50.84,37.29,80,4.47
Montepuez,MZ,0,1603059869,69.28,-13.13,39.0,80,6.73
San Ramon,US,1,1603059750,91.0,37.78,-121.98,14,4.7
Jimo,CN,43,1603059871,46.4,36.39,120.46,93,2.24
São José da Coroa Grande,BR,82,1603059872,75.52,-8.9,-35.15,76,9.13
Grand Gaube,MU,0,1603059874,73.0,-20.01,57.66,74,3.0
Granada,ES,13,1603059875,60.8,37.19,-3.61,51,9.17
Kununurra,AU,85,1603059582,78.8,-15.77,128.73,94,12.12
Jiaocheng,CN,68,1603059877,62.64,24.68,116.14,84,3.44
Perth,AU,0,1603059815,66.0,-31.93,115.83,55,5.82
Liberty,US,1,1603059880,77.0,31.83,-81.5,65,9.17
Puerto Peñasco,MX,30,1603059879,84.0,31.32,-113.53,74,5.99
São João da Barra,BR,75,1603059882,73.4,-21.64,-41.05,78,11.41
Avera,US,1,1603059884,71.6,33.19,-82.53,64,8.05
Andros Town,BS,75,1603059886,78.8,24.7,-77.77,83,13.87
Oranjemund,NA,0,1603059887,58.21,-28.55,16.43,86,11.54
Torbay,CA,90,1603059888,54.0,47.67,-52.73,100,6.93
Departamento de Maldonado,UY,17,1603059889,77.0,-34.67,-54.92,69,8.05
Appingedam,NL,99,1603059891,50.0,53.32,6.86,93,1.99
Amapá,BR,97,1603059892,82.53,1.0,-52.0,55,3.87
Anadyr,RU,0,1603059893,23.0,64.75,177.48,92,4.47
Arganil,PT,66,1603059894,63.0,40.22,-8.05,83,6.98
Hay River,CA,75,1603059895,26.6,60.82,-115.8,63,6.93
Camocim,BR,79,1603059897,79.59,-2.9,-40.84,73,13.89
Te Anau,NZ,100,1603059898,44.96,-45.42,167.72,92,3.83
Cabedelo,BR,20,1603059899,77.0,-6.98,-34.83,83,8.05
Wucheng,CN,100,1603059900,57.83,29.6,118.17,90,2.3
Auki,SB,63,1603059901,85.39,-8.77,160.7,66,2.33
Wyndham,US,20,1603059903,64.0,37.7,-77.61,82,1.61
Saint Anthony,US,90,1603059905,35.6,45.02,-93.22,50,12.75
Matara,LK,90,1603059906,77.99,5.95,80.54,87,10.31
Songjianghe,CN,0,1603059908,33.04,42.19,127.48,87,6.24
Coahuayana Viejo,MX,75,1603059909,82.4,18.73,-103.68,78,17.22
Alexandria,EG,0,1603059910,73.4,31.22,29.96,88,3.36
Russell,US,1,1603059911,78.8,32.35,-85.2,47,4.7
Belaya Gora,RU,97,1603059913,20.12,68.53,146.42,98,9.26
Virden,US,100,1603059914,46.99,39.5,-89.77,77,5.01
Swan River,CA,70,1603059916,31.95,52.11,-101.27,80,12.8
Jena,DE,100,1603059917,48.0,50.93,11.58,89,6.8
Bukachacha,RU,53,1603059919,29.59,52.98,116.92,97,2.64
Tinos,GR,20,1603059920,69.8,37.54,25.16,68,14.99
Barcelona,ES,20,1603059868,57.99,41.39,2.16,82,6.93
Gerāsh,IR,0,1603059922,57.2,27.67,54.14,30,4.7
Panubigan,PH,92,1603059924,78.15,7.43,123.35,84,3.94
Uvarovka,RU,87,1603059925,36.19,55.53,35.61,90,12.19
Augusto Corrêa,BR,96,1603059926,78.44,-1.02,-46.63,78,5.21
Zhangye,CN,82,1603059927,41.74,38.93,100.45,53,4.76
Aleksandrov Gay,RU,93,1603059928,58.55,50.15,48.57,73,11.99
